epoch,train_loss,val_loss,val_acc,test_loss,test_acc
0,1.5447622537612915,1.4510206604003906,0.288875,1.4539748573303222,0.2875
1,1.5634072780609132,1.4387125511169434,0.278875,,
2,1.3835774421691895,1.3958614730834962,0.264,,
3,1.3403949737548828,1.373106598854065,0.273125,,
4,1.2968661308288574,1.312843737602234,0.3945,1.3140912133768985,0.38855263157894737
5,1.2211440086364747,1.269699263572693,0.423625,1.2696238841508565,0.42355263157894735
6,1.1027451515197755,1.1461834173202514,0.58625,1.14869820971238,0.5843421052631579
7,0.7467754006385803,0.9417258806228638,0.6365,0.9504072051299246,0.6342105263157894
8,0.4367978036403656,0.9147054738998414,0.621875,,
9,0.23993465900421143,0.8816174860000611,0.664625,0.8994746784160011,0.6605263157894737
10,0.17813465595245362,0.9020620765686035,0.635375,,
11,0.08289121016860009,0.792251841545105,0.711625,0.8100636645367271,0.705
12,0.05781883634626865,0.9666402788162232,0.66825,,
13,0.04513677805662155,1.2291573915481568,0.61375,,
14,0.027065381407737732,1.1295323038101197,0.63825,,
15,0.015397965162992477,1.0169421472549438,0.691375,,
16,0.00982096316292882,0.9544321556091309,0.712875,0.9926411283643622,0.6971052631578948
17,0.007713291700929404,0.9176243848800659,0.723,0.9505981239519621,0.7075
18,0.008570521045476199,0.9111238403320312,0.728,0.9385687252094871,0.7222368421052632
19,0.0051648876629769806,0.9233022413253784,0.730375,0.9485187336018212,0.7231578947368421
